post_id,title,slug,url,status,parent,menu_order,post_date,modified
6,Performing arts,marius-varhaugvik,https://mariusvarhaugvik.com/,publish,0,1,2021-02-21 16:23:56,2026-05-12 23:13:08
64,Contact,contact,https://mariusvarhaugvik.com/contact/,publish,0,0,2021-02-23 14:03:42,2021-02-23 14:03:42
78,About,about,https://mariusvarhaugvik.com/about/,publish,0,0,2021-08-30 09:29:29,2026-04-07 21:26:22
94,Music,music,https://mariusvarhaugvik.com/music/,publish,0,0,2021-08-30 10:13:16,2024-03-25 13:05:07
216,Motion graphics,motion-graphics,https://mariusvarhaugvik.com/motion-graphics/,publish,0,0,2023-12-01 17:50:30,2025-11-11 10:52:01
